zz_kbcx_courseNumber,zzm_courseTitle_noEdit,zzd_semester,zzd_year,zzd_keywords,zze_courseURL
10.40,Chemical Engineering Thermodynamics,Fall,2003,"thermodynamics, first law, second law, entropy, Carnot, Gibbs, energy, free energy, equilibrium, ideal gas, statistical mechanics, ensemble, Hamiltonian, fugacity, fluids, phase, stability",https://ocw.mit.edu/courses/chemical-engineering/10-40-chemical-engineering-thermodynamics-fall-2003
10.442,Biochemical Engineering,Spring,2005,"chemical engineering, biochemistry,  microbiology, mathematical representations of microbial systems, kinetics of growth, kinetics of death, kinetics of metabolism, continuous fermentation, agitation, mass transfer, scale-up in fermentation systems, enzyme technology",https://ocw.mit.edu/courses/chemical-engineering/10-442-biochemical-engineering-spring-2005
10.445,Separation Processes for Biochemical Products,Summer,2005,"separation operations, recovery of products from biological processes, membrane filtration, chromatography, centrifugation, cell disruption, extraction,  process design, downstream processing, biochemical product recovery, modes of recovery and purification, biochemical engineering, biochemical product recovery",https://ocw.mit.edu/courses/chemical-engineering/10-445-separation-processes-for-biochemical-products-summer-2005
10.450,"Process Dynamics, Operations, and Control",Spring,2006,"process dynamics, control feedback, cascade, tank, series, operations, chemical engineering, controller, valve, transducer, feedforward, differential equations, LaPlace transform, exothermic, reactor, control systems, control strategies, control structures",https://ocw.mit.edu/courses/chemical-engineering/10-450-process-dynamics-operations-and-control-spring-2006
10.467,Polymer Science Laboratory,Fall,2005,"polymers, polymer laboratory, polymer experiments,  properties of polymers, methods of polymer synthesis,  physical chemistry, solution polymerization of acrylamide, bead polymerization of divinylbenzene, interfacial polymerization of nylon 6,10, evaluation of networks by tensile and swelling experiments, rheology of polymer solutions and suspensions, physical properties of natural and silicone rubber",https://ocw.mit.edu/courses/chemical-engineering/10-467-polymer-science-laboratory-fall-2005
10.490,Integrated Chemical Engineering I,Fall,2006,"Integrated Chemical Engineering, chemical process, process design, ABACUSS, batch reactor, chemical kinetics",https://ocw.mit.edu/courses/chemical-engineering/10-490-integrated-chemical-engineering-i-fall-2006
10.491,Integrated Chemical Engineering II,Spring,2006,integrated chemical engineering; ICE; process design; differential equations; separation processes; simulation; flowsheet; reactor design; transport phenomena; economic feasibility study; economic analysis,https://ocw.mit.edu/courses/chemical-engineering/10-491-integrated-chemical-engineering-ii-spring-2006
10.520,Molecular Aspects of Chemical Engineering,Fall,2004,"molecular-level engineering, analysis of chemical processes, chemical bonding, reactivity, design of organic systems, tailoring of organic systems, application and development of structure-property relationships, descriptions of the chemical forces and structural factors that govern supramolecular and interfacial phenomena for molecular and polymeric systems",https://ocw.mit.edu/courses/chemical-engineering/10-520-molecular-aspects-of-chemical-engineering-fall-2004
10.52,Mechanics of Fluids,Spring,2006,"fluid mechanics,  continuum mechanics, kinematics, macroscopic balances for linear momentum, macroscopic balances for angular momentum, the stress tensor, creeping flows,  lubrication approximation, boundary layer approximation, linear stability theory, simple turbulent flows",https://ocw.mit.edu/courses/chemical-engineering/10-52-mechanics-of-fluids-spring-2006
10.569,Synthesis of Polymers,Fall,2006,"polymer synthesis, step growth polymerization, free radical chain polymerization, anionic polymerization, cationic polymerization, ring-opening polymerization, ring openiing metathesis polymerization (ROMP), atom transfer free radical olymerization (ATRP), functionalization, stable free radical polymerization,  dendrimers, Kevlar, Nylon, Teflon, DuPont, hydrogen bonding, initiators, iniferter, ionic polymerizatioin, organic chemistry, inorganic chemistry, emulsion polymerization, Rempp, Merrill ",https://ocw.mit.edu/courses/chemical-engineering/10-569-synthesis-of-polymers-fall-2006
10.626,Electrochemical Energy Systems,Spring,2014,energy; electrochemical energy conversion; electrochemical energy storage; transport phenomena; diffuse charge; Faradaic reactions; statistical thermodynamics; phase transformations; rechargeable batteries; fuel cells; supercapacitors; solar cells; desalination; electrokinetic energy conversion,https://ocw.mit.edu/courses/chemical-engineering/10-626-electrochemical-energy-systems-spring-2014
11.005,Introduction to International Development,Spring,2015,"international development, poverty, development, governments, markets, structure, agency, wellbeing, progress, culture, policy, socioeconomic, colonialism, ethical development, identities, modernization, growth paradigms, development agenda, industrialization, debt crisis, globalization, washington consensus, institutions, continuous development, bretton woods system, cooperation, NGOs, non-governmental organization, capitalism, private sector, development theory, international aid architecture",https://ocw.mit.edu/courses/urban-studies-and-planning/11-005-introduction-to-international-development-spring-2015
11.006,Poverty and Economic Security,Fall,2016,"poverty, economic security, global poverty, economic status, employment, economic disparity, economic inequality, equitable distribution of wealth, middle class economy, economic insecurity, working poor, demographics, income, race, economic class",https://ocw.mit.edu/courses/urban-studies-and-planning/11-006-poverty-and-economic-security-fall-2016
11.007,Resolving Public Disputes,Spring,2005,public policy; policymaking; law; legislature; social problems; power and wealth; problem solving; direct democracy; consensus building; regulatory negotiation; politics; political writing; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-007-resolving-public-disputes-spring-2005
11.011,The Art and Science of Negotiation,Spring,2006,negotiation; bargaining; conflict; strategy; choice; strategic interaction; mutual gains; cooperation; problem solving; interests; stakeholders; listening; trust; communication; perspective taking; escalation; psychological processes; coalitions,https://ocw.mit.edu/courses/urban-studies-and-planning/11-011-the-art-and-science-of-negotiation-spring-2006
11.020,"Poverty, Public Policy and Controversy",Fall,2003,how society should respond to poverty; race;  politics of welfare; out-of-wedlock births; homelessness; crime; drugs; knowledge about poverty and community; empowerment from social science research; public discourse and politics; assumptions on which American approaches to poverty are based,https://ocw.mit.edu/courses/urban-studies-and-planning/11-020-poverty-public-policy-and-controversy-fall-2003
11.027,"City to City: Comparing, Researching and Writing about Cities ",Spring,2006,Copenhagen; Denmark; Boston; Massachusetts; United States; presentations; intereviews; research; writing; comparative research; editing; suburbs; waterfront; politics; transportation; transit; bicycles; culture; history,https://ocw.mit.edu/courses/urban-studies-and-planning/11-027-city-to-city-comparing-researching-and-writing-about-cities-spring-2006
11.027,"City to City: Comparing, Researching and Writing about Cities: New Orleans",Spring,2011,"New Orleans,  urban planning, recovery, Hurricane Katrina, field work, rebuild, disaster, cities, researching, writing",https://ocw.mit.edu/courses/urban-studies-and-planning/11-027-city-to-city-comparing-researching-and-writing-about-cities-new-orleans-spring-2011
11.027,Global Cityscope - Disaster Planning and Post-Disaster Rebuilding and Recovery,Spring,2017,"disaster planning, rebuilding, recovery, cities, natural disasters, earthquakes, floods, tornados, hurricanes, blizzards, climate change, extreme weather, oil spills, disease, terrorism, emergency response, sustainability, mapping, emergency management, urban planning, urban policy, government, GIS, Chilé, New Orleans, Haiti",https://ocw.mit.edu/courses/urban-studies-and-planning/11-027-global-cityscope-disaster-planning-and-post-disaster-rebuilding-and-recovery-spring-2017
11.122,Environment and Society,Fall,2002,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-122-environment-and-society-fall-2002
11.123,Big Plans and Mega-Urban Landscapes,Spring,2014,large projects; technology; politics; economics; culture; participatory planning; urban planning; regional lanscape; urban design; city planning; urbanism; hurricane sandy,https://ocw.mit.edu/courses/urban-studies-and-planning/11-123-big-plans-and-mega-urban-landscapes-spring-2014
11.124,Introduction to Education: Looking Forward and Looking Back on Education ,Fall,2011,"education, teaching, learning, science, mathematics, education reform, education and media, history of education, simulations, games, digital divide, classroom, technology",https://ocw.mit.edu/courses/urban-studies-and-planning/11-124-introduction-to-education-looking-forward-and-looking-back-on-education-fall-2011
11.125,Introduction to Education: Understanding and Evaluating Education,Spring,2009,classroom experiences; student-centered classroom activities; student-led classes; issues in schools and education; observing; pre-college math and science classes; design and implementation of curriculum; diversity; standards in math and science; student misconceptions; methods of instruction; the digital divide; teaching through different media; student assessment,https://ocw.mit.edu/courses/urban-studies-and-planning/11-125-introduction-to-education-understanding-and-evaluating-education-spring-2009
11.128,Information Technology and the Labor Market,Spring,2005,information technology; labor; labor market; market forces; computers; information processing; technological limits; technology; interfaces; human interaction; cognition; brain; productivity,https://ocw.mit.edu/courses/urban-studies-and-planning/11-128-information-technology-and-the-labor-market-spring-2005
11.129,Educational Theory and Practice I,Fall,2011,"education, teacher education, adolescent development, learning styles, lesson planning, assessment, classroom management, differentiated instruction, high school, classroom, curriculum, special education",https://ocw.mit.edu/courses/urban-studies-and-planning/11-129-educational-theory-and-practice-i-fall-2011
11.131,Educational Theory and Practice III,Spring,2012,education psychology; theories of cognitive development; use of technology in classroom; motivation of students; social development; moral development; emotional development; information processing; differentiated instruction; standardized tests;,https://ocw.mit.edu/courses/urban-studies-and-planning/11-131-educational-theory-and-practice-iii-spring-2012
11.139,The City in Film,Spring,2015,"cities, urban, urban experience, urbanism, development, technology, bureaucracy, industrialization, immigration, national identity, race, class, gender, economic inequality, politics, conformity, urban anomie, planning, development, private property, displacement, sprawl, environmental degradation, suburbanization, metropolis, berlin symphony of a great city, the crowd, modern times, ladri di biciclette, bicycle thieves, the naked city, west side story, play time, midnight cowboy, blade runner, do the right thing, london, night on earth",https://ocw.mit.edu/courses/urban-studies-and-planning/11-139-the-city-in-film-spring-2015
11.164,Human Rights: At Home and Abroad,Fall,2015,human rights; public international law; history; international relations; universality; cultural specificity; NGO's; duty-based; rights; social movements; law; international relations; sociology; political science; policy dilemmas; government regulation;,https://ocw.mit.edu/courses/urban-studies-and-planning/11-164-human-rights-at-home-and-abroad-fall-2015
11.165,Infrastructure and Energy Technology Challenges,Fall,2011,"Energy infrastructure, energy crisis, energy security, economics of public goods and infrastructure, Infrastructure development, infrastructure policy, infrastructure financing, energy system, food security, political economy of energy, long term development of energy, infrastructure financing, infrastructure delivery",https://ocw.mit.edu/courses/urban-studies-and-planning/11-165-infrastructure-and-energy-technology-challenges-fall-2011
11.166,"Law, Social Movements, and Public Policy: Comparative and International Experience",Spring,2012,"law, social movements, public policy, comparative, international, Occupy Wall Street, gender, law, Arab Spring, social justice, human rights, feminism, women's rights, India, United States, labor, economics",https://ocw.mit.edu/courses/urban-studies-and-planning/11-166-law-social-movements-and-public-policy-comparative-and-international-experience-spring-2012
11.167,Economic Development & Technical Capabilities,Spring,2004,"economic growth; technological capabilities;
world technological frontier; innovation; new products; production engineering; project execution; borrowed technology",https://ocw.mit.edu/courses/urban-studies-and-planning/11-167-economic-development-technical-capabilities-spring-2004
11.201,Gateway: Planning Action,Fall,2002,"planners, challenges facing planners, professional development, planning literature, planning practice, urban planning",https://ocw.mit.edu/courses/urban-studies-and-planning/11-201-gateway-planning-action-fall-2002
11.201,Gateway: Planning Action,Fall,2005,"planners; challenges facing planners; professional development; planning literature; planning practice; urban planning; negotiation; diversity; washington, dc; boston public housing; presentation; cooperation; ",https://ocw.mit.edu/courses/urban-studies-and-planning/11-201-gateway-planning-action-fall-2005
11.201,Gateway: Planning Action,Fall,2007,planning in the public interest; theory and history of planning; real world cases; limits of planning; approaches to planning; professional communication; planning action; planned change; intervention; wise and fair intervention; city planning; analysis; teamwork; diversity; public interest; cities and societies; values and ethics,https://ocw.mit.edu/courses/urban-studies-and-planning/11-201-gateway-planning-action-fall-2007
11.201,Gateway to the Profession of Planning,Fall,2010,"urban planning, profession, regional planning, development planning, city planning, methodology, technology, rational comprehensive, strategic incrementalist, top down planning, globalization, ",https://ocw.mit.edu/courses/urban-studies-and-planning/11-201-gateway-to-the-profession-of-planning-fall-2010
11.202,Planning Economics,Fall,2010,"planning, economics, markets, zoning, global warming, urban studies",https://ocw.mit.edu/courses/urban-studies-and-planning/11-202-planning-economics-fall-2010
11.203,Microeconomics,Fall,2010,"microeconomics, markets, economy, competition, economic development,supply and demand, oligopoly",https://ocw.mit.edu/courses/urban-studies-and-planning/11-203-microeconomics-fall-2010
11.204,"Planning, Communications, and Digital Media",Fall,2004,planning; communication; digital; media; communications; visualization; the role of digital technologies; mobilizing communities; Athena; Element K; the ESRI virtual campus; Computer Resources Laboratory (CRL); Campus Wide Information Systems Support (CWIS); the GIS Laboratory; Rotch Library; software tools; Adobe Photoshop; Illustrator; ESRI's ArcView; Microsoft's Access; Macromedia's Dreamweaver,https://ocw.mit.edu/courses/urban-studies-and-planning/11-204-planning-communications-and-digital-media-fall-2004
11.205,Introduction to Spatial Analysis,Fall,2019,"spatial analysis
GIS
ARCGIS
ESRI
geographic information systems
cartography
mapping
data visualization
geo-processing",https://ocw.mit.edu/courses/urban-studies-and-planning/11-205-introduction-to-spatial-analysis-fall-2019
11.208,Introduction to Computers in Public Management II,IAP,2002,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-208-introduction-to-computers-in-public-management-ii-january-iap-2002
11.220,Quantitative Reasoning & Statistical Methods for Planners I,Spring,2009,statistics; statistical methods; quantitative reasoning; variability; numeracy; measurement; stata; logic; probability; inferential statistics; regression; census; bivariate; multivariate; normal curve; research design; decision tree; utility; planning; distribution; city planning; stata; scatterplot; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-220-quantitative-reasoning-statistical-methods-for-planners-i-spring-2009
11.225,Argumentation and Communication,Fall,2006,effective communication; policy; public; persuasive; presentation skills; public speaking; analysis; policy analysis; writing; diagnostic; oral briefing; grammar; memo writing; memo structure; paragraph; revision; cogence; writing analysis,https://ocw.mit.edu/courses/urban-studies-and-planning/11-225-argumentation-and-communication-fall-2006
11.229,Advanced Writing Seminar,Spring,2004,different types of writing; write; review; rewrite and present your point of view both orally and in written form; peer review; communicate complex ideas; in-class writing,https://ocw.mit.edu/courses/urban-studies-and-planning/11-229-advanced-writing-seminar-spring-2004
11.233,Crafting Research Questions and Qualitative Methodology,Fall,2005,research; evaluation; methodology; research proposals; writing; fieldwork; interviewing; organizations; NGO's; government; urban planning; cities; redevelopment; craft and technique; PhD dissertation writing; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-233-crafting-research-questions-and-qualitative-methodology-fall-2005
11.233,Research Design for Policy Analysis and Planning,Fall,2007,policy and planning research; theories; research questions; research proposals; research design; experimental designs; research ethics; sampling; surveys; questionnaires; interviewing; case studies; field research; participatory research; action research; unobtrusive measures,https://ocw.mit.edu/courses/urban-studies-and-planning/11-233-research-design-for-policy-analysis-and-planning-fall-2007
11.235,Analyzing Projects and Organizations,Fall,2009,"analyzing projects, analyzing organizations, evaluation, organizational behavior, street-level bureaucrats, public management reforms, public management models, compliance, international organizations, ",https://ocw.mit.edu/courses/urban-studies-and-planning/11-235-analyzing-projects-and-organizations-fall-2009
11.237,Practice of Participatory Action Research (PAR),Spring,2016,"participatory action research, urban planning, community, community collaboration, social change, partnerships, actionable knowledge, local, practical wisdom, public policy, applied social science",https://ocw.mit.edu/courses/urban-studies-and-planning/11-237-practice-of-participatory-action-research-par-spring-2016
11.255,Negotiation and Dispute Resolution in the Public Sector,Spring,2021,"negotiation
dispute resolution
mutual gains
bargaining
consensus
coalition
facilitation
mediation
",
11.307,Beijing Urban Design Studio,Summer,2006,China; Beijing; urban planning; international relations; site planning; building use; services; zoning; urban improvement; reuse; green building; cultural understanding; architecture; tectonics; place making; space; Space Between; urban design; urban redesign; village; neighborhood; mixed-use public space; light and space; affordable design; green design; LEED; cultural understanding; path; place; space as activator;,https://ocw.mit.edu/courses/urban-studies-and-planning/11-307-beijing-urban-design-studio-summer-2006
11.307,Beijing Urban Design Studio,Summer,2008,Beijing; China; urban design; development; shougang; capital steel factory; de-industrialization; Olympic Games; site redevelopment; heritage site; environment; urban development; energy; site understanding; land use; design concept; bioremediation; transit; subway; light rail; urban planning; architecture; brownfield,https://ocw.mit.edu/courses/urban-studies-and-planning/11-307-beijing-urban-design-studio-summer-2008
11.312,Engaging Community: Models and Methods for Designers and Planners,Spring,2020,"community
public engagement
civic design
democracy
collaboration
design principles
design briefs
blog posts",https://ocw.mit.edu/courses/urban-studies-and-planning/11-312-engaging-community-models-and-methods-for-designers-and-planners-spring-2020
11.329,Social Theory and the City,Fall,2005,sociology; urbanism; identity; public space; private space; social theory; cities; regionalism; immigration; integration; craft; architecture; universa design; subways; gentrification; infrastructure; exclusion; racial politics; anthropology; biological determinism; center; perifery; photography; repression; protest; inclusion; modernism,https://ocw.mit.edu/courses/urban-studies-and-planning/11-329-social-theory-and-the-city-fall-2005
11.333,Urban Design Seminar,Spring,2005,urban design; design competitions; past and future design trends; elderly housing; neighborhood design; housing and technology; workplace design; mediated space; public spaces and technology; schools and technology; cultural regeneration; arts districts; museums; interpretive pathways; waterfront design; natural systems; environmental sustainability; urban design education,https://ocw.mit.edu/courses/urban-studies-and-planning/11-333-urban-design-seminar-spring-2005
11.333,Urban Design Seminar,Spring,2016,urban design; design competitions; past and future design trends; elderly housing; neighborhood design; housing and technology; workplace design; mediated space; public spaces and technology; schools and technology; cultural regeneration; arts districts; museums; interpretive pathways; waterfront design; natural systems; environmental sustainability; urban design education,https://ocw.mit.edu/courses/urban-studies-and-planning/11-333-urban-design-seminar-spring-2016
11.360,Community Growth and Land Use Planning,Fall,2003,growth management; land use planning and change; planning; professional practice; participatory processes; client-based projects; GIS; community particpation; regional development,https://ocw.mit.edu/courses/urban-studies-and-planning/11-360-community-growth-and-land-use-planning-fall-2003
11.360,Community Growth and Land Use Planning,Fall,2005,growth management; land use planning and change; planning; professional practice; participatory processes; client-based projects; GIS; community particpation; regional development,https://ocw.mit.edu/courses/urban-studies-and-planning/11-360-community-growth-and-land-use-planning-fall-2005
11.360,Community Growth and Land Use Planning,Fall,2006,growth management; land use planning and change; planning; professional practice; participatory processes; client-based projects; GIS; community particpation; regional development,https://ocw.mit.edu/courses/urban-studies-and-planning/11-360-community-growth-and-land-use-planning-fall-2006
11.360,Community Growth and Land Use Planning,Fall,2010,"land use, planning, practicum, community growth, GIS, Newton, MA, zoning, Needham Street,",https://ocw.mit.edu/courses/urban-studies-and-planning/11-360-community-growth-and-land-use-planning-fall-2010
11.362,Environmental Management Practicum: Brownfield Redevelopment in the Urban Core,Fall,2006,redevelopment; brownfields; environmental contamination; communities; regulatory constraints; economics; community-based planning; stakeholder interviews; project assessment; Boston; Dorchester; transit; jobs; housing; physical design,https://ocw.mit.edu/courses/urban-studies-and-planning/11-362-environmental-management-practicum-brownfield-redevelopment-fall-2006
11.363,Civil Society and Environment,Spring,2005,environmental governance; local roles; government; NGO's; social movement mobilization; collaboration; local and state government; pollution; toxins; legislature; governance;,https://ocw.mit.edu/courses/urban-studies-and-planning/11-363-civil-society-and-the-environment-spring-2005
11.364,International Environmental Negotiation,Fall,2010,sustainability; managing common resources; transboundary pollution control; economic development; social development; environmental resource protection; environmental protection standards; international negotiations; multi-lateral negotiations; representation; voting; issue linkage; balancing science and politics; Climate Change Convention,https://ocw.mit.edu/courses/urban-studies-and-planning/11-364-international-environmental-negotiation-fall-2010
11.368,Environmental Justice,Fall,2004,environmental justice; environmental justice analysis; environmental policy and planning; inequity; injustice; politics; planning; global environment; sustainability; environment; green design; anthropology; ecology; biological hazards; Environmental Protection Agency,https://ocw.mit.edu/courses/urban-studies-and-planning/11-368-environmental-justice-fall-2004
11.368,Environmental Justice Law and Policy,Fall,2019,environmental justice; environmental justice analysis; environmental policy and planning; inequity; injustice; politics; planning; global environment; sustainability; environment; green design; anthropology; ecology; biological hazards; Environmental Protection Agency,https://ocw.mit.edu/courses/urban-studies-and-planning/11-368-environmental-justice-law-and-policy-fall-2019
11.370,Brownfields Policy and Practice,Fall,2005,"brownfields; environmental policy; environmental practice; planning; urban redevelopment; market forces; law and liability; environmental justice; under-served communities; environmental technology; risk assessment; economics; risk management; community development corporations; politics; Lynn, MA",https://ocw.mit.edu/courses/urban-studies-and-planning/11-370-brownfields-policy-and-practice-fall-2005
11.373,"Science, Politics, and Environmental Policy",Fall,2004,environmental policy; sound science; legislative policy; media influence; public participation; policy process; regulatory science; public perception; judicial decision making; advocacy science; adaptive management,https://ocw.mit.edu/courses/urban-studies-and-planning/11-373-science-politics-and-environmental-policy-fall-2004
11.375,Role of Science and Scientists in Collaborative Approaches to Environmental Policymaking,Spring,2006,science; scientists; society; collaborative approaches; joint fact finding; environment; policy making; decision making; ethics in science; values; environmental policy; collaborative learning; local and indigenous knowledge; adaptive management; adaptive governance; eco-system management; USGS; United States Geological Survey,https://ocw.mit.edu/courses/urban-studies-and-planning/11-375-role-of-science-and-scientists-in-collaborative-approaches-to-environmental-policymaking-spring-2006
11.382,Water Diplomacy,Spring,2021,"freshwater
transboundary waters
water resources
resource allocation
water governance
mediation
negotiation
stakeholder engagement
roleplaying
IWRM
Nile
Brahmaputra
Indus
Jordan",https://ocw.mit.edu/courses/urban-studies-and-planning/11-382-water-diplomacy-spring-2021/
11.384,Malaysia Sustainable Cities Practicum,Spring,2018,"Malaysia, practicum, developing country, sustainability, policy, sustainable development, , urbanization, environment, energy, cultural awareness, travel, fieldwork",https://ocw.mit.edu/courses/urban-studies-and-planning/11-384-malaysia-sustainable-cities-practicum-spring-2018
11.401,"Introduction to Housing, Community and Economic Development",Fall,2003,public policy; private markets; housing; economic development; the local economy; neighborhood  institutions; public and private interventions; housing and community development agendas; inner city and low income neighborhoods,https://ocw.mit.edu/courses/urban-studies-and-planning/11-401-introduction-to-housing-community-and-economic-development-fall-2003
11.401,"Introduction to Housing, Community, and Economic Development",Fall,2015,public policy; private markets; housing; economic development; the local economy; neighborhood  institutions; public and private interventions; housing and community development agendas; inner city and low income neighborhoods; poverty; development; urban growth; initiatives; planning; urban youth; education,https://ocw.mit.edu/courses/urban-studies-and-planning/11-401-introduction-to-housing-community-and-economic-development-fall-2015
11.405,Just Money: Banking as if Society Mattered,Spring,2021,"banking
finance
social justice
environmental justice
debt
lending
profit
capital
mission",https://ocw.mit.edu/courses/urban-studies-and-planning/11-405-just-money-banking-as-if-society-mattered-spring-2021
11.409,Institutions of Modern Capitalism,Spring,2020,"capitalism
political economy
states
market societies
cities
right-wing
globalism
governance
futurity
free markets
neoliberalism
postcolonialism",https://ocw.mit.edu/courses/urban-studies-and-planning/11-409-institutions-of-modern-capitalism-spring-2020
11.421,Housing and Human Services,Spring,2005,housing; service industry; social services; privatization; housing models; community; government regulation; welfare; social services; local policies; department of social services;,https://ocw.mit.edu/courses/urban-studies-and-planning/11-421-housing-and-human-services-spring-2005
11.422,Downtown Management Organizations,Fall,2006,downtown management organizations; business improvement districts; transnational policy transfer; externalities; spatial externalities; political externalities; public space; security; local DMOs; BID's,https://ocw.mit.edu/courses/urban-studies-and-planning/11-422-downtown-management-organizations-fall-2006
11.423,Information and Communication Technologies in Community Development,Spring,2004,"theory and practice; implementation; evaluation; comprehensive community information infrastructure; democratic involvement; community development projects; Lawrence Community Works, Inc.; planning problem in the City of Lawrence, Massachusetts; the digital divide; e-government; public participation; GIS; neighborhood information systems",https://ocw.mit.edu/courses/urban-studies-and-planning/11-423-information-and-communication-technologies-in-community-development-spring-2004
11.437,Financing Economic Development,Fall,2016,financing tools; program models to support local economic development; private capital markets; financing sources; capital market imperfections; economic development; business accounting; financial statement analysis; federal economic development programs; public finance tools; funds; guarantee programs; venture capital funds; bank holding companies; community development loan funds; credit unions; micro enterprise funds; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-437-financing-economic-development-fall-2016
11.438,Economic Development Planning,Spring,2020,"development
real estate
urban renewal
brownfields
tax incentives
zoning
racial equity
fiscal analysis
finance",https://ocw.mit.edu/courses/urban-studies-and-planning/11-438-economic-development-planning-spring-2020
11.439,Revitalizing Urban Main Streets,Spring,2003,urban business district decline; revitalization challenges; planning tools used to understand and assess urban Main Streets; physical design and economic development perspectives;  policies; interventions; investments; urban commercial revitalization,https://ocw.mit.edu/courses/urban-studies-and-planning/11-439-revitalizing-urban-main-streets-mission-hill-egleston-square-boston-spring-2003
11.439,Revitalizing Urban Main Streets,Spring,2005,main streets; urban neighborhood decline; urban design; urban development; physical development tools; economic development tools; revitalization strategies; retail; market analysis; assets; capacity assessment; existing conditions analysis; streetscapes; neighborhood image and identity; zoning; business development; organization; capacity building; marketing,https://ocw.mit.edu/courses/urban-studies-and-planning/11-439-revitalizing-urban-main-streets-hyde-jackson-square-roslindale-square-boston-spring-2005
11.439,Revitalizing Urban Main Streets,Spring,2009,"urban studies, new orleans, revitalization, urban planning, flood, disaster, Hurricane Katrina, urban main streets, urban, st. claude avenue, recovery",https://ocw.mit.edu/courses/urban-studies-and-planning/11-439-revitalizing-urban-main-streets-st-claude-avenue-new-orleans-spring-2009
11.469,Urban Sociology in Theory and Practice,Spring,2009,urban sociology; social change; urbanism; urban growth; environmental sociology; human ecology; underclass; social inequality; political power; socio-spatial change; built environment; race and politics; political economy; urban villages; globalization; social justice; community; social networks; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-469-urban-sociology-in-theory-and-practice-spring-2009
11.469,Urban Sociology in Theory and Practice,Spring,2016,urban sociology; social change; urbanism; urban growth; environmental sociology; human ecology; underclass; social inequality; political power; socio-spatial change; built environment; race and politics; political economy; urban villages; globalization; social justice; community; social networks; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-469-urban-sociology-in-theory-and-practice-spring-2016
11.471,Targeting the Poor: Local Economic Development in Developing Countries,Spring,2010,"local economic development, poverty, developing countries, public-sector policies, employment, labor standards, environmental standards, political economy, poverty reduction, ",https://ocw.mit.edu/courses/urban-studies-and-planning/11-471-targeting-the-poor-local-economic-development-in-developing-countries-spring-2010
11.479,Water and Sanitation Infrastructure Planning in Developing Countries,Spring,2005,planning; water supply; sanitation; developing countries; sanitation technologies; service pricing; alternative institutional structures; privatization; consumer demand; community participation; planning processes; environmental health; public health; water supply and sanitation planning; low-income households; case studies; policy memos; journals; environment; sustainability; pollution,https://ocw.mit.edu/courses/urban-studies-and-planning/11-479-water-and-sanitation-infrastructure-planning-in-developing-countries-spring-2005
11.483,Housing and Land Use in Rapidly Urbanizing Regions,Fall,2011,"housing, land use, urban, urban land, property rights, economic growth, social justice, design, policy, public space,city, urban planning",https://ocw.mit.edu/courses/urban-studies-and-planning/11-483-housing-and-land-use-in-rapidly-urbanizing-regions-fall-2011
11.484,Project Appraisal in Developing Countries,Spring,2005,project evaluation;   politics; project cycle; development planning; financing; investment; cash flow; project evaluation; discounting; alternative investment; forecasting; inflation; risk management; risk analysis; markets; market distortin; opportunity cost; taxation; monopoly; social-distributive project appraisal; institutions; rational analysis,https://ocw.mit.edu/courses/urban-studies-and-planning/11-484-project-appraisal-in-developing-countries-spring-2005
11.487,Urban Public Finance in Developing Countries,Fall,2004,urban services; fiscal capaciy; institutional capacity; financial analysis; public finance; trade-offs; developing countries; public goods; externalities;ethics in planning;  economic development; fiscal health; revenues; expenditures; budget deficits; inflation; optimal taxation; optimal user fees; equity; incidence; equilibrium; property tax; tax reform; transfers; fiscal federalism; decentralization; private sector; international lending; microfinance; ,https://ocw.mit.edu/courses/urban-studies-and-planning/11-487-urban-public-finance-in-developing-countries-fall-2004
11.488,Urban Development in Conflict Cities: Planning Challenges and Policy Innovations,Fall,2015,policy; government; conflict; development; war; ethnic conflict; religious conflict; violence; urban security; conflict zones; military; slums; gender; gangs; peace; reconstruction,https://ocw.mit.edu/courses/urban-studies-and-planning/11-488-urban-development-in-conflict-cities-planning-challenges-and-policy-innovations-fall-2015
11.489,The Growth and Spatial Structure of Cities,Fall,2005,urban growth; city structure; urban history; economics; urban form and function; inter-urban dynamics; intra-urban dynamics; housing; employment; industrialization; globalization; politics; policy; growth management; de-industrialization; centralization; de-centralization; urban renewal; urban decline; suburbanization; sprawl,https://ocw.mit.edu/courses/urban-studies-and-planning/11-489-the-growth-and-spatial-structure-of-cities-fall-2005
11.493,Legal Aspects of Property and Land Use,Fall,2005,property law; law; property; land use; property fairness; competition; public trust; trespass; fair use; easements; nuisance laws; zoning; environmental regulations; slavery; racial discrimination; gender discrimination; economic discrimination; takings; licenses; servitudes; contestation; covenants; common ownership; housing; apartheid; restitution; eviction; displacement; international development,https://ocw.mit.edu/courses/urban-studies-and-planning/11-493-legal-aspects-of-property-and-land-use-fall-2005
